nohup: ignoring input
Device: cuda
=== Loading dataset ===
  Dish-level split: 3654 train dishes, 405 val dishes
  Loaded 9409 samples from 3654 dish IDs (2483 overhead, 6926 side-angle frames, 3654 dishes, 5006 in metadata)
  Loaded 5853 samples from 405 dish IDs (272 overhead, 5581 side-angle frames, 405 dishes, 5006 in metadata)
  Label means (normalization): calories: 227.6, mass: 198.3, fat: 11.3, carbs: 17.9, protein: 15.9
  Train: 9409 samples | Val: 5853 samples

=== Building model ===
  Parameters: 130,886,629 (109,101,061 trainable, backbone frozen for 5 epochs)

  Model summary saved to ./checkpoints/model_summary.txt
=== Training ===

  Epoch   1/100 | Batch 247/295 ( 83.7%) | Running MAE: 3403.00
  Epoch   1/100 | Batch 248/295 ( 84.1%) | Running MAE: 3389.46
  Epoch   1/100 | Batch 249/295 ( 84.4%) | Running MAE: 3376.09
  Epoch   1/100 | Batch 250/295 ( 84.7%) | Running MAE: 3362.82
  Epoch   1/100 | Batch 251/295 ( 85.1%) | Running MAE: 3349.54
  Epoch   1/100 | Batch 252/295 ( 85.4%) | Running MAE: 3336.40
  Epoch   1/100 | Batch 253/295 ( 85.8%) | Running MAE: 3323.38
  Epoch   1/100 | Batch 254/295 ( 86.1%) | Running MAE: 3310.65
  Epoch   1/100 | Batch 255/295 ( 86.4%) | Running MAE: 3297.84
  Epoch   1/100 | Batch 256/295 ( 86.8%) | Running MAE: 3285.14
  Epoch   1/100 | Batch 257/295 ( 87.1%) | Running MAE: 3272.58
  Epoch   1/100 | Batch 258/295 ( 87.5%) | Running MAE: 3260.09
  Epoch   1/100 | Batch 259/295 ( 87.8%) | Running MAE: 3247.66
  Epoch   1/100 | Batch 260/295 ( 88.1%) | Running MAE: 3235.34
  Epoch   1/100 | Batch 261/295 ( 88.5%) | Running MAE: 3223.15
  Epoch   1/100 | Batch 262/295 ( 88.8%) | Running MAE: 3211.08
  Epoch   1/100 | Batch 263/295 ( 89.2%) | Running MAE: 3199.00
  Epoch   1/100 | Batch 264/295 ( 89.5%) | Running MAE: 3187.08
  Epoch   1/100 | Batch 265/295 ( 89.8%) | Running MAE: 3175.22
  Epoch   1/100 | Batch 266/295 ( 90.2%) | Running MAE: 3163.47
  Epoch   1/100 | Batch 267/295 ( 90.5%) | Running MAE: 3151.81
  Epoch   1/100 | Batch 268/295 ( 90.8%) | Running MAE: 3140.24
  Epoch   1/100 | Batch 269/295 ( 91.2%) | Running MAE: 3128.75
  Epoch   1/100 | Batch 270/295 ( 91.5%) | Running MAE: 3117.37
  Epoch   1/100 | Batch 271/295 ( 91.9%) | Running MAE: 3106.04
  Epoch   1/100 | Batch 272/295 ( 92.2%) | Running MAE: 3094.77
  Epoch   1/100 | Batch 273/295 ( 92.5%) | Running MAE: 3083.60
  Epoch   1/100 | Batch 274/295 ( 92.9%) | Running MAE: 3072.57
  Epoch   1/100 | Batch 275/295 ( 93.2%) | Running MAE: 3061.54
  Epoch   1/100 | Batch 276/295 ( 93.6%) | Running MAE: 3050.65
  Epoch   1/100 | Batch 277/295 ( 93.9%) | Running MAE: 3039.87
  Epoch   1/100 | Batch 278/295 ( 94.2%) | Running MAE: 3029.10
  Epoch   1/100 | Batch 279/295 ( 94.6%) | Running MAE: 3018.42
  Epoch   1/100 | Batch 280/295 ( 94.9%) | Running MAE: 3007.79
  Epoch   1/100 | Batch 281/295 ( 95.3%) | Running MAE: 2997.26
  Epoch   1/100 | Batch 282/295 ( 95.6%) | Running MAE: 2986.82
  Epoch   1/100 | Batch 283/295 ( 95.9%) | Running MAE: 2976.47
  Epoch   1/100 | Batch 284/295 ( 96.3%) | Running MAE: 2966.18
  Epoch   1/100 | Batch 285/295 ( 96.6%) | Running MAE: 2955.98
  Epoch   1/100 | Batch 286/295 ( 96.9%) | Running MAE: 2946.02
  Epoch   1/100 | Batch 287/295 ( 97.3%) | Running MAE: 2936.00
  Epoch   1/100 | Batch 288/295 ( 97.6%) | Running MAE: 2925.96
  Epoch   1/100 | Batch 289/295 ( 98.0%) | Running MAE: 2915.97
  Epoch   1/100 | Batch 290/295 ( 98.3%) | Running MAE: 2906.12
  Epoch   1/100 | Batch 291/295 ( 98.6%) | Running MAE: 2896.32
  Epoch   1/100 | Batch 292/295 ( 99.0%) | Running MAE: 2886.57
  Epoch   1/100 | Batch 293/295 ( 99.3%) | Running MAE: 2876.88
  Epoch   1/100 | Batch 294/295 ( 99.7%) | Running MAE: 2867.29
  Epoch   1/100 | Batch 295/295 (100.0%) | Running MAE: 2857.94
  ─── Epoch 1/100 ────────────────────────────────────
    Train  ─  MAE: 2857.94  |  norm loss: 29.048
    Val    ─  MAE:   63.43  |  norm loss: 0.806
    Val MAE%:  calories: 84.7%  mass: 77.5%  fat: 117.6%  carbs: 100.0%  protein: 105.9%
    LR: 0.001000  |  Time: 46.3s
    > Saved best model (val MAE: 63.43)

  Epoch   2/100 | Batch 1/295 (  0.3%) | Running MAE: 76.29
  Epoch   2/100 | Batch 2/295 (  0.7%) | Running MAE: 72.24
  Epoch   2/100 | Batch 3/295 (  1.0%) | Running MAE: 68.63
  Epoch   2/100 | Batch 4/295 (  1.4%) | Running MAE: 71.20
  Epoch   2/100 | Batch 5/295 (  1.7%) | Running MAE: 72.22
  Epoch   2/100 | Batch 6/295 (  2.0%) | Running MAE: 67.14
  Epoch   2/100 | Batch 7/295 (  2.4%) | Running MAE: 67.16
  Epoch   2/100 | Batch 8/295 (  2.7%) | Running MAE: 65.04
  Epoch   2/100 | Batch 9/295 (  3.1%) | Running MAE: 62.61
  Epoch   2/100 | Batch 10/295 (  3.4%) | Running MAE: 62.70
  Epoch   2/100 | Batch 11/295 (  3.7%) | Running MAE: 62.30
  Epoch   2/100 | Batch 12/295 (  4.1%) | Running MAE: 63.50
