nohup: ignoring input
Device: cuda
=== Loading dataset ===
  Dish-level split: 3654 train dishes, 405 val dishes
  Loaded 9409 samples from 3654 dish IDs (2483 overhead, 6926 side-angle frames, 3654 dishes, 5006 in metadata)
  Loaded 5853 samples from 405 dish IDs (272 overhead, 5581 side-angle frames, 405 dishes, 5006 in metadata)
  Label means (normalization): calories: 227.6, mass: 198.3, fat: 11.3, carbs: 17.9, protein: 15.9
  Train: 9409 samples | Val: 5853 samples

=== Building model ===
  Parameters: 65,860,585 (44,075,017 trainable, backbone frozen for 5 epochs)

  Model summary saved to ./checkpoints/model_summary.txt
=== Training ===

  Epoch   2/100 | Batch 6/295 (  2.0%) | Running MAE: 55.45
  Epoch   2/100 | Batch 7/295 (  2.4%) | Running MAE: 55.06
  Epoch   2/100 | Batch 8/295 (  2.7%) | Running MAE: 55.27
  Epoch   2/100 | Batch 9/295 (  3.1%) | Running MAE: 55.97
  Epoch   2/100 | Batch 10/295 (  3.4%) | Running MAE: 56.90
  Epoch   2/100 | Batch 11/295 (  3.7%) | Running MAE: 57.40
  Epoch   2/100 | Batch 12/295 (  4.1%) | Running MAE: 56.60
  Epoch   2/100 | Batch 13/295 (  4.4%) | Running MAE: 55.12
  Epoch   2/100 | Batch 14/295 (  4.7%) | Running MAE: 54.97
  Epoch   2/100 | Batch 15/295 (  5.1%) | Running MAE: 54.96
  Epoch   2/100 | Batch 16/295 (  5.4%) | Running MAE: 54.34
